Gender,Count of Gender,,,,,,Family History of Obesity,Count of Family History of Obesity,,,,Mode of Transport,Count of Mode of Transport
Female,1043,,,,,,no,385,,,,Automobile,457
Male,1068,,,,,,yes,1726,,,,Bike,7
,,,,,,,,,,,,Motorbike,11
,,,,,,,,,,,,Public_Transportation,1580
,,,,,,,,,,,,Walking,56
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Obesity Level,Count of Obesity Level,,,,,,,,,
,,,Insufficient_Weight,272,,,,,,,,,
,,,Normal_Weight,287,,,,,,,,,
,,,Obesity_Type_I,351,,,,,,,,,
,,,Obesity_Type_II,297,,,,,,,,,
,,,Obesity_Type_III,324,,,,,,,,,
,,,Overweight_Level_I,290,,,,,,,,,
,,,Overweight_Level_II,290,,,,,,,,,
